Date,Name,Year,Letterboxd URI,Plot,Director1,Director2,Genre1,Genre2,Country1,Country2,RatingAvg,RatingCount
2022-04-21,Fresh,2022,https://boxd.it/tCNi,"Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store.",Mimi Cave,,Horror,Thriller,USA,,3.41,542186.0
2022-04-26,Green Room,2015,https://boxd.it/a75m,A punk rock band is forced to fight for survival after witnessing an act of violence at a skinhead bar.,Jeremy Saulnier,,Thriller,Horror,USA,,3.65,309891.0
2022-04-26,Under the Skin,2013,https://boxd.it/3mDa,A seductive stranger prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.,Jonathan Glazer,,Science Fiction,Thriller,UK,USA,3.61,314607.0
2022-04-27,Peppermint Candy,1999,https://boxd.it/ZQc,"In the spring of 1999, a group of old friends gather to celebrate their 20 year reunion. Among the group is Yeong-ho, a cold, unhappy man, whose demeanor puts a damper on the festivities. The seriousness of Yeong-ho's depression becomes apparent when he climbs a railroad bridge and looks like he might jump. At this crucial moment, memories of seven crucial episodes from Yeong-ho's past flood his mind.",Lee Chang-dong,,Drama,,Japan,South Korea,3.99,21863.0
2022-04-28,Once Upon a Time in the West,1968,https://boxd.it/2az4,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",Sergio Leone,,Drama,Western,Italy,USA,4.39,210600.0
2022-05-01,Oasis,2002,https://boxd.it/1sO0,A young man released from prison visits the widow of the man he killed drunk-driving and becomes infatuated with his cerebral palsy-stricken daughter.,Lee Chang-dong,,Drama,Romance,South Korea,,4.08,18214.0
2022-05-05,Charade,1963,https://boxd.it/23O2,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines.",Stanley Donen,,Romance,Mystery,USA,,4.02,141500.0
2022-05-06,The Sadness,2021,https://boxd.it/tcHe,"A young couple is pushed to the limits of sanity as they attempt to be reunited amid the chaos of a pandemic outbreak. The streets erupt into violence and depravity, as those infected are driven to enact the most cruel and ghastly things imaginable.",Rob Jabbaz,,Thriller,Horror,Taiwan,,3.14,81531.0
2022-05-12,Tape,2001,https://boxd.it/1yCu,"John, a first-time filmmaker, finds himself in Lansing, Michigan to present his film at a local film festival. Vince, his high school friend who is now a volunteer fireman and small-time drug dealer, also visits the town to support John on his big day, or so it seems. After a raucous hello and much backslapping, it appears that there is an undercurrent of tension in the air.",Richard Linklater,,Drama,,USA,,3.66,18718.0
2022-05-14,Guinea Pig: Mermaid in the Manhole,1988,https://boxd.it/1hl2,"An artist dealing with the grief of his wife leaving him finds solace in painting the squalor of the sewer. He discovers a trapped mermaid, whom he brings home to heal. Her condition worsens, and she asks the artist to paint her before she dies.",Hideshi Hino,,Horror,Romance,Japan,,3.34,6697.0
2022-05-16,High Life,2018,https://boxd.it/d6bk,A father and his daughter struggle to survive in deep space where they live in isolation.,Claire Denis,,Science Fiction,Drama,France,Germany,3.22,143466.0
2022-05-16,Zola,2020,https://boxd.it/jEWQ,"A waitress agrees to accompany an exotic dancer, her put-upon boyfriend, and her mysterious and domineering roommate on a road trip to Florida to seek their fortune at a high-end strip club.",Janicza Bravo,,Comedy,Crime,USA,,3.47,146799.0
2022-05-17,The Third Man,1949,https://boxd.it/294E,"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.",Carol Reed,,Mystery,Thriller,UK,,4.25,153031.0
2022-05-29,Tampopo,1985,https://boxd.it/1SZe,"In this humorous paean to the joys of food, a pair of truck drivers happen onto a decrepit roadside shop selling ramen noodles. The widowed owner, Tampopo, begs them to help her turn her establishment into a paragon of the ""art of noodle-soup making"". Interspersed are satirical vignettes about the importance of food to different aspects of human life.",Jūzō Itami,,Comedy,,Japan,,4.31,112294.0
2022-06-01,Pleasantville,1998,https://boxd.it/26uY,"Geeky teenager David and his popular twin sister, Jennifer, get sucked into the black-and-white world of a 1950s TV sitcom called ""Pleasantville,"" and find a world where everything is peachy keen all the time. But when Jennifer's modern attitude disrupts Pleasantville's peaceful but boring routine, she literally brings color into its life.",Gary Ross,,Comedy,Fantasy,USA,,3.69,110391.0
2022-06-11,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,"The residents of San Francisco are becoming drone-like shadows of their former selves, and as the phenomenon spreads, two Department of Health workers uncover the horrifying truth.",Philip Kaufman,,Horror,Science Fiction,USA,,3.94,119413.0
2022-06-11,The Void,2016,https://boxd.it/d93S,"In the middle of a routine patrol, officer Daniel Carter happens upon a blood-soaked figure limping down a deserted stretch of road. He rushes the young man to a nearby rural hospital staffed by a skeleton crew, only to discover that patients and personnel are transforming into something inhuman. As the horror intensifies, Carter leads the other survivors on a hellish voyage into the subterranean depths of the hospital in a desperate bid to end the nightmare before it's too late.",Steven Kostanski,Jeremy Gillespie,Horror,Science Fiction,Canada,,3.01,80336.0
2022-06-15,The Devils,1971,https://boxd.it/1inI,"In 17th-century France, Father Urbain Grandier seeks to protect the city of Loudun from the corrupt establishment of Cardinal Richelieu. Hysteria occurs within the city when he is accused of witchcraft by the sexually repressed Sister Jeanne.",Ken Russell,,Drama,History,UK,,4.21,55682.0
2022-06-17,The Ten Commandments,1956,https://boxd.it/21mg,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",Cecil B. DeMille,,History,Drama,USA,,3.82,43244.0
2022-06-19,Love Exposure,2008,https://boxd.it/1pDe,"The story of a teenage boy named Yu, who falls for Yoko, a girl he runs into while working as an ""up-skirt"" photographer in an offshoot of the porn industry. His attempts to woo her are complicated by a spot of cross-dressing – which convinces Yoko that she is lesbian – dalliances with kung-fu and crime, and a constant struggle with the guilt that's a legacy of his Catholic upbringing.",Sion Sono,,Comedy,Drama,Japan,,4.38,60084.0
2022-06-21,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,"Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge.",Terry Gilliam,,Drama,Comedy,USA,,3.78,309836.0
2022-06-21,Irma Vep,1996,https://boxd.it/1vYs,"Hong Kong action diva Maggie Cheung comes to France when a past-his-prime director casts her in a remake of the silent classic Les Vampires. Clad in a rubber catsuit and unable to speak a word of French, Cheung finds herself adrift in the insanity of the film industry…",Olivier Assayas,,Drama,Comedy,France,,3.91,58814.0
2022-06-21,The Fabulous Baron Munchausen,1962,https://boxd.it/ZV2,"A 20th century man lands on the Moon and discovers that Baron Munchausen has beaten him to it, accompanied by Cyrano de Bergerac and the characters from Jules Verne's novels about the conquest of the satellite.",Karel Zeman,,Animation,Adventure,Czechoslovakia,,4.03,10466.0
2022-06-21,Code Unknown,2000,https://boxd.it/1kaw,"A series of events unfold like a chain reaction, all stemming from a minor event that brings the film's five characters together. Set in Paris, France, Anne is an actress whose boyfriend Georges photographs the war in Kosovo. Georges' brother, Jean, is looking for the entry code to Georges' apartment. These characters' lives interconnect with a Romanian immigrant and a deaf teacher.",Michael Haneke,,Drama,,France,Germany,3.8,24681.0
2022-06-21,Bringing Out the Dead,1999,https://boxd.it/1ZZK,"Once called ""Father Frank"" for his efforts to rescue lives, Frank Pierce sees the ghosts of those he failed to save around every turn. He has tried everything he can to get fired, calling in sick, delaying taking calls where he might have to face one more victim he couldn't help, yet cannot quit the job on his own.",Martin Scorsese,,Drama,,USA,,3.73,90278.0
2022-06-27,Layer Cake,2004,https://boxd.it/23LC,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...",Matthew Vaughn,,Crime,Thriller,UK,,3.51,118191.0
2022-06-27,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6.",Tomas Alfredson,,Mystery,Drama,France,Germany,3.67,129114.0
2022-06-27,The Love Witch,2016,https://boxd.it/cZie,"A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",Anna Biller,,Romance,Horror,USA,,3.5,202584.0
2022-06-27,Topology of Sirens,2021,https://boxd.it/md3U,"After discovering a set of cryptic microcassettes in her new home, Cas is drawn into a meditative mystery of environmental sound and experimental music.",Jonathan Davies,,Drama,,USA,,3.51,740.0
2022-06-29,Dances with Wolves,1990,https://boxd.it/2a4K,"Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",Kevin Costner,,Western,Adventure,UK,USA,3.88,124415.0
2022-07-10,Suzhou River,2000,https://boxd.it/1Tsq,"After getting out of prison, small-time crook Mardar stumbles upon a woman who looks exactly like his long-lost lover, who he attempted to kidnap 3 years ago.",Lou Ye,,Romance,Drama,China,Germany,3.97,31404.0
2022-07-10,Fire of Love,2022,https://boxd.it/yoPY,"A doomed love triangle between intrepid French scientists Katia and Maurice Krafft, and their beloved volcanoes.",Sara Dosa,,Documentary,,Canada,USA,4.12,104309.0
2022-07-13,Silverado,1985,https://boxd.it/1TGC,"Four unwitting heroes cross paths on their journey to the sleepy town of Silverado. Little do they know the town where their family and friends reside has been taken over by a corrupt sheriff and a murderous posse. It's up to the sharp-shooting foursome to save the day, but first they have to break each other out of jail, and learn who their real friends are.",Lawrence Kasdan,,Western,Action,USA,,3.49,24665.0
2022-07-13,Satantango,1994,https://boxd.it/1j9M,"Inhabitants of a small village in Hungary deal with the effects of the fall of Communism. The town's source of revenue, a factory, has closed, and the locals, who include a doctor and three couples, await a cash payment offered in the wake of the shuttering. Irimias, a villager thought to be dead, returns and, unbeknownst to the locals, is a police informant. In a scheme, he persuades the villagers to form a commune with him.",Béla Tarr,,Drama,,Germany,Hungary,4.37,31191.0
