Date,Name,Year,Letterboxd URI
2023-08-17,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo
2023-08-18,How to Have Sex,2023,https://boxd.it/EFIM
2023-08-27,Conversation Piece,1974,https://boxd.it/pQ6
2023-08-27,The Leopard,1963,https://boxd.it/296K
2023-09-05,The Golem: How He Came Into the World,1920,https://boxd.it/262g
2023-09-07,Hardcore,1979,https://boxd.it/XyA
2023-09-07,Swept Away,1974,https://boxd.it/17cY
2023-09-07,Long Day's Journey into Night,2018,https://boxd.it/hw1I
2023-09-11,Paprika,2006,https://boxd.it/23wW
2023-09-13,Messiah of Evil,1974,https://boxd.it/1wLY
2023-09-13,Kuroneko,1968,https://boxd.it/12mE
2023-09-13,Kotoko,2011,https://boxd.it/3030
2023-09-15,Prince of the City,1981,https://boxd.it/1hQY
2023-09-17,The Forgiven,2021,https://boxd.it/iYWa
2023-09-18,The Masque of the Red Death,1964,https://boxd.it/1w12
2023-09-27,No One Will Save You,2023,https://boxd.it/uUO6
2023-09-28,The Cremator,1969,https://boxd.it/1H8y
2023-09-30,The Creator,2023,https://boxd.it/oXWq
2023-10-02,Blood Simple,1984,https://boxd.it/1U16
2023-10-13,Unsane,2018,https://boxd.it/gKrS
2023-10-21,Babette's Feast,1987,https://boxd.it/1SYU
2023-10-22,May,2002,https://boxd.it/1V8M
2023-10-26,Basket Case,1982,https://boxd.it/1qV4
2023-10-31,Quiz Show,1994,https://boxd.it/1TPa
2023-11-12,Custody,2017,https://boxd.it/g6we
2023-11-20,The Wrong Man,1956,https://boxd.it/1AqK
2023-11-24,Cruel Intentions,1999,https://boxd.it/29Be
2023-12-01,Legend,1985,https://boxd.it/1SCY
2023-12-07,The Tatami Galaxy,2010,https://boxd.it/oL50
2023-12-09,World on a Wire,1973,https://boxd.it/B9me
2023-12-13,When Evil Lurks,2023,https://boxd.it/rXBe
2023-12-13,Buffalo '66,1998,https://boxd.it/1YC6
